time,open,high,low,close,tick_volume,spread,real_volume
2025-08-07 09:05:00,115136.04,115156.11,115092.27,115105.33,374,980,0
2025-08-07 09:06:00,115104.63,115158.89,115093.28,115101.69,364,980,0
2025-08-07 09:07:00,115101.11,115117.33,115097.35,115110.58,385,980,0
2025-08-07 09:08:00,115110.58,115110.98,115097.78,115098.95,392,980,0
2025-08-07 09:09:00,115098.91,115098.91,115074.32,115076.88,399,980,0
2025-08-07 09:10:00,115077.07,115085.29,115027.2,115034.67,383,980,0
2025-08-07 09:11:00,115035.02,115035.64,114976.44,114991.52,419,980,0
2025-08-07 09:12:00,114991.44,115003.44,114989.05,115000.86,373,980,0
2025-08-07 09:13:00,115000.8,115023.19,114998.53,115023.05,371,980,0
2025-08-07 09:14:00,115022.48,115043.22,115018.61,115031.4,375,980,0
2025-08-07 09:15:00,115030.73,115033.04,115022.17,115023.63,385,980,0
2025-08-07 09:16:00,115022.45,115027.39,115006.36,115011.26,348,980,0
2025-08-07 09:17:00,115011.54,115042.76,115008.22,115038.75,357,980,0
2025-08-07 09:18:00,115038.44,115039.04,114978.36,114985.19,343,980,0
2025-08-07 09:19:00,114984.94,115016.83,114947.52,114999.28,383,980,0
2025-08-07 09:20:00,114998.58,115038.56,114998.58,115032.08,383,980,0
2025-08-07 09:21:00,115032.16,115051.75,115023.69,115050.71,415,980,0
2025-08-07 09:22:00,115049.49,115065.21,115022.75,115049.63,395,980,0
2025-08-07 09:23:00,115049.45,115075.41,115043.96,115064.71,380,980,0
2025-08-07 09:24:00,115065.04,115066.71,115043.31,115043.83,377,980,0
2025-08-07 09:25:00,115043.3,115062.6,115042.64,115058.53,361,980,0
2025-08-07 09:26:00,115058.61,115087.75,115058.61,115083.82,357,980,0
2025-08-07 09:27:00,115083.47,115085.75,115072.34,115074.37,379,980,0
2025-08-07 09:28:00,115074.38,115132.99,115074.35,115130.9,366,980,0
2025-08-07 09:29:00,115130.9,115143.74,115123.33,115138.22,371,980,0
2025-08-07 09:30:00,115139.58,115146.63,115127.24,115143.98,386,980,0
2025-08-07 09:31:00,115144.11,115144.98,115108.39,115116.82,371,980,0
2025-08-07 09:32:00,115117.14,115118.49,115072.06,115114.1,373,980,0
2025-08-07 09:33:00,115114.1,115120.34,115074.0,115079.77,344,980,0
2025-08-07 09:34:00,115080.09,115087.09,115047.72,115061.3,387,980,0
2025-08-07 09:35:00,115061.22,115063.81,115032.26,115037.54,384,980,0
2025-08-07 09:36:00,115038.06,115080.88,115037.5,115070.95,392,980,0
2025-08-07 09:37:00,115071.71,115102.78,115070.77,115095.17,357,980,0
2025-08-07 09:38:00,115094.7,115095.4,115009.98,115013.77,329,980,0
2025-08-07 09:39:00,115014.99,115031.72,114994.86,115005.38,360,980,0
2025-08-07 09:40:00,115005.23,115019.87,114999.61,115016.6,378,980,0
2025-08-07 09:41:00,115016.6,115060.94,115007.85,115057.84,352,980,0
2025-08-07 09:42:00,115057.49,115090.08,115057.49,115082.13,396,980,0
2025-08-07 09:43:00,115082.13,115138.77,115080.27,115118.87,367,980,0
2025-08-07 09:44:00,115120.02,115125.71,115110.15,115112.1,370,980,0
2025-08-07 09:45:00,115120.86,115164.55,115109.34,115114.77,383,980,0
2025-08-07 09:46:00,115114.54,115119.39,115084.12,115093.78,330,980,0
2025-08-07 09:47:00,115094.68,115112.26,115089.96,115106.35,353,980,0
2025-08-07 09:48:00,115107.78,115115.16,115103.42,115104.78,346,980,0
2025-08-07 09:49:00,115104.81,115104.82,115081.34,115086.0,344,980,0
2025-08-07 09:50:00,115086.13,115154.12,115086.0,115154.12,362,980,0
